query_id,query_name,rows,avg_s,min_s,max_s,mode,runs,warmup
Q1,Q1_customer_lookup_by_name_prefix,1632,0.028831,0.023735,0.031446,baseline,5,1
Q2,Q2_customer_lookup_top5_initials,1632,0.012688,0.012335,0.013475,baseline,5,1
Q3,Q3_all_customers_and_account_counts,3000,0.014765,0.014141,0.017006,baseline,5,1
Q4,Q4_account_balance_point_in_time,1,0.000134,0.000110,0.000178,baseline,5,1
Q5,Q5_recent_activity_for_account,62,0.000293,0.000264,0.000343,baseline,5,1
Q6,Q6_recent_activity_for_top_accounts_30d,1000,3.814593,2.801917,4.662175,baseline,5,1
Q7,Q7_daily_txn_volume_by_branch,150,1.211725,1.001118,1.447289,baseline,5,1
Q8,Q8_credits_vs_debits,150,1.159110,1.066929,1.399482,baseline,5,1
Q9,Q9_top_customers_by_spend_last_90d,3000,1.735583,1.595931,2.050825,baseline,5,1
Q10,Q10_multi_branch_usage_30d,3000,1.764435,1.390746,1.936279,baseline,5,1
Q11,Q11_outstanding_loans_by_primary_branch,5,0.000655,0.000628,0.000721,baseline,5,1
Q12,Q12_ Average APR by loan type,4,0.000097,0.000090,0.000110,baseline,5,1
Q13,Q13_ Portfolio mix by principal,4,0.000090,0.000087,0.000098,baseline,5,1
Q14,Q14_inactive_accounts_60d_by_branch,0,2.582316,1.893460,3.082771,baseline,5,1
Q15,Q15_avg_txn_amount_by_category_30d,10,0.495693,0.440861,0.563302,baseline,5,1
Q16,Q16_top_merchants_by_gross_volume_30d,12,0.628762,0.493702,0.914291,baseline,5,1
Q17,Q17_branch_net_flow_by_week_90d,25,2.072630,1.633560,2.613971,baseline,5,1
Q18,Q18_top_customers_by_inflow_30d,3000,1.472047,0.968712,2.907036,baseline,5,1
Q19,Q19_card_status_by_brand,4,0.000960,0.000940,0.001006,baseline,5,1
Q20,Q20_loan_payment_day_distribution_active,21,0.000460,0.000143,0.000912,baseline,5,1
