branch_id,day,txn_count,total_amount
B001,2025-10-24,2109,503586.53
B002,2025-10-24,2026,531139.79
B003,2025-10-24,1939,485328.76
B004,2025-10-24,1988,483727.4
B005,2025-10-24,1938,530018.74
B001,2025-10-25,2082,560581.67
B002,2025-10-25,2047,508488.36
B003,2025-10-25,1923,489679.05
B004,2025-10-25,1940,543475.14
B005,2025-10-25,2010,513090.69
B001,2025-10-26,2122,590473.77
B002,2025-10-26,1984,495250.73
B003,2025-10-26,1909,537597.18
B004,2025-10-26,1942,542440.34
B005,2025-10-26,2045,554726.23
B001,2025-10-27,2080,543387.98
B002,2025-10-27,2053,510973.01
B003,2025-10-27,1953,507137.13
B004,2025-10-27,1908,473334.47
B005,2025-10-27,2006,461243.27
B001,2025-10-28,2062,517390.02
B002,2025-10-28,2095,535509.49
B003,2025-10-28,1915,459685.65
B004,2025-10-28,1964,486725.41
B005,2025-10-28,1964,449987.64
B001,2025-10-29,2078,522241.69
B002,2025-10-29,2082,526380.6
B003,2025-10-29,1834,465414.19
B004,2025-10-29,1937,460438.54
B005,2025-10-29,2069,549957.3
B001,2025-10-30,2081,503723.84
B002,2025-10-30,2066,452052.89
B003,2025-10-30,1835,482423.06
B004,2025-10-30,1979,512759.29
B005,2025-10-30,2041,530452.82
B001,2025-10-31,2106,579803.78
B002,2025-10-31,2088,505838.99
B003,2025-10-31,1789,498414.2
B004,2025-10-31,1990,468012.52
B005,2025-10-31,2027,503539.93
B001,2025-11-01,2067,505231.93
B002,2025-11-01,2071,509342.86
B003,2025-11-01,1920,462377.85
B004,2025-11-01,1927,470560.92
B005,2025-11-01,2015,518080.04
B001,2025-11-02,2073,591927.35
B002,2025-11-02,2055,460219.32
B003,2025-11-02,1962,466216.01
B004,2025-11-02,1940,475040.67
B005,2025-11-02,1970,495920.57
B001,2025-11-03,2119,567899.82
B002,2025-11-03,2050,565893.93
B003,2025-11-03,1907,489640.64
B004,2025-11-03,2004,552153.6
B005,2025-11-03,1920,473831.17
B001,2025-11-04,2025,506986.64
B002,2025-11-04,1969,511910.19
B003,2025-11-04,2009,517828.94
B004,2025-11-04,1959,545681.04
B005,2025-11-04,2038,534899.94
B001,2025-11-05,2052,478113.91
B002,2025-11-05,2037,528354.16
B003,2025-11-05,1907,458933.91
B004,2025-11-05,2015,571809.39
B005,2025-11-05,1989,571972.49
B001,2025-11-06,2064,603689.7
B002,2025-11-06,2093,509897.38
B003,2025-11-06,1879,442718.86
B004,2025-11-06,1969,460210.93
B005,2025-11-06,1995,549688.51
B001,2025-11-07,2016,501723.93
B002,2025-11-07,2084,599436.26
B003,2025-11-07,1902,513686.61
B004,2025-11-07,2001,504167.26
B005,2025-11-07,1997,488128.93
