query_id,query_name,rows,avg_s,min_s,max_s,mode,runs,warmup
Q1,Q1_customer_lookup_by_name_prefix,4399,0.033857,0.029801,0.037018,optimized,5,1
Q2,Q2_customer_lookup_top5_initials,4399,0.039300,0.028005,0.051043,optimized,5,1
Q3,Q3_all_customers_and_account_counts,8000,0.064737,0.032903,0.094022,optimized,5,1
Q4,Q4_account_balance_point_in_time,1,0.000386,0.000322,0.000466,optimized,5,1
Q5,Q5_recent_activity_for_account,62,0.000852,0.000707,0.001092,optimized,5,1
Q6,Q6_recent_activity_for_top_accounts_30d,1000,13.821178,7.978522,24.774454,optimized,5,1
Q7,Q7_daily_txn_volume_by_branch,150,8.640981,5.553264,12.165187,optimized,5,1
Q8,Q8_credits_vs_debits,150,7.708460,5.680272,9.155182,optimized,5,1
Q9,Q9_top_customers_by_spend_last_90d,8000,12.357552,9.699431,14.293938,optimized,5,1
Q10,Q10_multi_branch_usage_30d,8000,21.093807,15.652063,27.064117,optimized,5,1
Q11,Q11_outstanding_loans_by_primary_branch,5,0.003588,0.003250,0.004627,optimized,5,1
Q12,Q12_ Average APR by loan type,4,0.000319,0.000304,0.000344,optimized,5,1
Q13,Q13_ Portfolio mix by principal,4,0.000329,0.000301,0.000382,optimized,5,1
Q14,Q14_inactive_accounts_60d_by_branch,0,9.852083,8.083859,13.331149,optimized,5,1
Q15,Q15_avg_txn_amount_by_category_30d,10,3.866246,3.153314,4.825406,optimized,5,1
Q16,Q16_top_merchants_by_gross_volume_30d,12,3.089319,1.585016,5.185251,optimized,5,1
Q17,Q17_branch_net_flow_by_week_90d,25,8.806364,6.872549,9.874598,optimized,5,1
Q18,Q18_top_customers_by_inflow_30d,8000,13.083547,11.138597,14.861698,optimized,5,1
Q19,Q19_card_status_by_brand,4,0.004062,0.003604,0.005020,optimized,5,1
Q20,Q20_loan_payment_day_distribution_active,21,0.000508,0.000359,0.000791,optimized,5,1
