branch_id,day,txn_count,total_amount
B001,2025-10-24,5177,1432736.71
B002,2025-10-24,5559,1316681.32
B003,2025-10-24,5470,1339226.98
B004,2025-10-24,5284,1313245.52
B005,2025-10-24,5176,1314382.84
B001,2025-10-25,5264,1315102.55
B002,2025-10-25,5589,1522145.08
B003,2025-10-25,5393,1399600.12
B004,2025-10-25,5258,1251368.78
B005,2025-10-25,5162,1328500.78
B001,2025-10-26,5157,1335934.82
B002,2025-10-26,5467,1342734.77
B003,2025-10-26,5569,1385209.34
B004,2025-10-26,5339,1400241.1
B005,2025-10-26,5134,1287517.93
B001,2025-10-27,5149,1289793.05
B002,2025-10-27,5595,1415951.6
B003,2025-10-27,5341,1448302.26
B004,2025-10-27,5440,1393761.41
B005,2025-10-27,5141,1264746.57
B001,2025-10-28,5150,1302674.57
B002,2025-10-28,5368,1339621.8
B003,2025-10-28,5544,1446621.81
B004,2025-10-28,5327,1328557.93
B005,2025-10-28,5277,1343563.45
B001,2025-10-29,5205,1365802.02
B002,2025-10-29,5334,1297415.97
B003,2025-10-29,5533,1415805.61
B004,2025-10-29,5458,1395801.66
B005,2025-10-29,5136,1292449.41
B001,2025-10-30,5174,1333964.57
B002,2025-10-30,5459,1482833.67
B003,2025-10-30,5549,1414141.23
B004,2025-10-30,5312,1395316.06
B005,2025-10-30,5172,1348545.29
B001,2025-10-31,5178,1430903.2
B002,2025-10-31,5479,1515628.19
B003,2025-10-31,5511,1392574.03
B004,2025-10-31,5391,1283771.13
B005,2025-10-31,5107,1306968.13
B001,2025-11-01,5266,1336571.93
B002,2025-11-01,5546,1419567.4
B003,2025-11-01,5459,1380869.01
B004,2025-11-01,5238,1335146.79
B005,2025-11-01,5157,1354556.11
B001,2025-11-02,5160,1261202.6
B002,2025-11-02,5573,1466966.58
B003,2025-11-02,5455,1443005.66
B004,2025-11-02,5329,1330144.57
B005,2025-11-02,5149,1334502.67
B001,2025-11-03,5192,1331629.27
B002,2025-11-03,5552,1388045.0
B003,2025-11-03,5436,1464889.06
B004,2025-11-03,5331,1325769.64
B005,2025-11-03,5155,1357230.57
B001,2025-11-04,5215,1433610.43
B002,2025-11-04,5443,1476762.33
B003,2025-11-04,5559,1535531.62
B004,2025-11-04,5413,1440619.83
B005,2025-11-04,5036,1273125.14
B001,2025-11-05,5123,1319613.95
B002,2025-11-05,5518,1284816.52
B003,2025-11-05,5557,1438523.66
B004,2025-11-05,5369,1445476.07
B005,2025-11-05,5099,1347182.86
B001,2025-11-06,5221,1321619.52
B002,2025-11-06,5599,1422528.98
B003,2025-11-06,5345,1342202.63
B004,2025-11-06,5274,1400421.95
B005,2025-11-06,5227,1351018.37
B001,2025-11-07,5291,1294692.45
B002,2025-11-07,5382,1356473.2
B003,2025-11-07,5508,1352890.44
B004,2025-11-07,5357,1415834.58
B005,2025-11-07,5128,1306102.56
